image,repo,age_days,pull_count,size_mb,n_tags,packages,vuln_critical,vuln_high,vuln_medium,vuln_low,vuln_total,secrets,misconfig,malware
archlinux@sha256:e2ff789ea8446483f1a2aefee501d521b591d7e23772a24c257b0121a4f6eb43,library/archlinux,2012,31932408,221.1,1,133,3,19,30,12,70,27,4,11
archlinux@sha256:31ff235178caa746f572b13d8486fdffc0d577a0b48430c3f59cf49a4fd49cdb,library/archlinux,2005,31932408,221.0,1,133,3,19,30,12,70,27,4,11
archlinux@sha256:9eea590160fc177d36fd23930704e579911e30a7ab8cffcbf4f7f16ff8b9d862,library/archlinux,1997,31932408,221.0,1,133,3,19,30,12,70,27,4,11
archlinux@sha256:ef2bb5f7d4949d824a6fc75019844da080965907aef7fb23755ca3ee5eb6309b,library/archlinux,1991,31932408,221.3,1,133,3,19,30,12,70,35,4,11
archlinux@sha256:c551b9a50a31d0e58496f35736b132395eeab4fd9a4b692f4845678c2f67794a,library/archlinux,1984,31932408,221.4,1,133,3,18,29,12,68,35,4,11
archlinux@sha256:71863d2421b81cefd21b6f4f9070e182368406502c8ef203741c8858994f54fa,library/archlinux,1976,31932408,221.4,1,133,3,17,28,12,66,36,4,11
archlinux@sha256:620507a548f633e5342b2cad78993b151d3362088ed4d9b5052d4c54f034d11c,library/archlinux,1956,31932408,221.7,1,133,3,17,28,12,66,36,4,11
ubuntu@sha256:1419f247ed8839657257f51ea7091f08bc2ce528ce8230ea7818d5d7945838df,library/ubuntu,371,9889389327,29.3,1,87,8,46,184,99,355,1,4,2
ubuntu@sha256:88daed6fc14b38487406267600a6e5b238b45164768c7e648eab2d9f7555d52a,library/ubuntu,352,9889389327,29.1,1,87,8,46,184,101,357,1,4,2
ubuntu@sha256:b0cdf41048f0f36ebaae5a071a9dedba3c884dd08d7eaf6447c7974ee2d161ca,library/ubuntu,323,9889389327,29.7,1,88,9,46,192,101,367,1,4,2
ubuntu@sha256:f1a2f5377779859fcb03755dc9db7f8643332e5f47de46370186e7ff512cff05,library/ubuntu,282,9889389327,29.7,1,88,9,42,184,101,355,1,4,2
ubuntu@sha256:f7923e088cac9f761c60c535ba8f99c5f77362cbd75b62a465d9079ce9bfdcb1,library/ubuntu,279,9889389327,29.7,1,88,8,41,182,99,349,1,4,2
ubuntu@sha256:6a2ed59e515447fd5f01d6a269b67d9ec9af0ebfe78c6d71e702b3ad6fbd4380,library/ubuntu,262,9889389327,29.9,1,88,8,41,182,99,349,1,4,2
ubuntu@sha256:af5be3d16518275dafdb50a567a594d0a8fd2a6cf053892307f1b604e44609f4,library/ubuntu,224,9889389327,34.5,1,89,8,44,284,108,463,1,4,2
ubuntu@sha256:dfe3338a302a9b1cd2a4f79c943ce71a8b08a87a17cc4a072c7af7784e679b7c,library/ubuntu,170,9889389327,34.4,1,89,8,45,392,156,620,1,4,2
ubuntu@sha256:a116da523014adce116faede4495f6c4761c92c7e3ff4f9a9d215c4e993cc938,library/ubuntu,189,9889389327,34.5,1,89,4,35,206,82,328,1,4,2
ubuntu@sha256:2b6cfa1bb08927c3d704f454d5d507fe11fb0e8946dca8220b5ef8cae284e03a,library/ubuntu,170,9889389327,33.8,1,88,5,41,216,82,345,1,4,2
ubuntu@sha256:4203aeed99e52822956806a630cebcb22a062c89460c323025d66e296ad9ec1f,library/ubuntu,157,9889389327,33.7,1,88,5,41,216,82,345,1,4,2
ubuntu@sha256:6c6ab8897d8794fccccc1d50e97489098a0a64ba54de133c1e4c2b20fb2c8bdd,library/ubuntu,126,9889389327,33.7,1,88,5,41,216,82,345,1,4,2
ubuntu@sha256:37a0633b900e99d0937986022b4b4018908e1361704425313cc1c348bebd7230,library/ubuntu,93,9889389327,33.7,1,88,5,41,216,82,345,1,4,2
ubuntu@sha256:c17e4720a74c1343e53c68e832fbf425d0c75751f4ccc25f0452c865c15aa288,library/ubuntu,65,9889389327,41.9,1,102,8,49,196,44,340,1,4,2
ubuntu@sha256:90a2fdb254f1fa3d9344f5e232f60dbf7f13feeb0e1d1ed28c874c4d50331ea5,library/ubuntu,50,9889389327,41.6,1,102,8,49,120,26,225,1,4,2
ubuntu@sha256:a46610b903f238d10283a9a8fd5e27b0f3e13cc010f490083556e2c12a3df917,library/ubuntu,44,9889389327,41.5,1,102,8,49,120,26,225,1,4,2
busybox@sha256:91ef6c1c52b166be02645b8efee30d1ee65362024f7da41c404681561734c465,library/busybox,3121,12555858078,0.7,1,1,2,12,5,2,21,0,4,385
busybox@sha256:4cee1979ba0bf7db9fc5d28fb7b798ca69ae95a47c5fecf46327720df4ff352d,library/busybox,3039,12555858078,0.7,1,1,2,12,3,2,19,0,4,391
almalinux@sha256:cd49d7250ed7bb194d502d8a3e50bd775055ca275d1d9c2785aea72b890afe6a,library/almalinux,1534,14397230,73.8,1,153,9,178,671,334,1197,3,4,4
almalinux@sha256:8d9e2a9e031b65807cfb537f31a16039f44bda4d456255f6c013f39acba7ad55,library/almalinux,1650,14397230,39.3,1,99,0,98,361,161,620,1,3,3
almalinux@sha256:0b38c8712154f30c1d92086d8dd9abc6091aff225d331915f793e97709f826cf,library/almalinux,1534,14397230,39.4,1,100,0,96,356,161,613,1,3,3
almalinux@sha256:13914ea41f0b2f1c852d29ef3b971e888b5d57f0f15803bbd4cbedcfdd2c032e,library/almalinux,1472,14397230,39.4,2,100,0,93,342,160,595,1,3,3
almalinux@sha256:8bb766a76bde70f7587686e2e5f2c5d3d9264c58860b3c9d3f34e37827b6594c,library/almalinux,1472,14397230,73.8,2,153,9,167,630,332,1143,3,4,4
almalinux@sha256:e6aaa21a79ea0ac0f8fcbe45797ad9985c814de376799b22e9ae06f78afaa2ac,library/almalinux,1470,14397230,70.8,1,153,9,167,623,330,1134,3,4,4
almalinux@sha256:281fe29704a974aecb61f08049087893c34d27c97f95e3f742fd2b68dac7c77d,library/almalinux,1414,14397230,70.9,1,153,9,158,589,330,1091,3,4,4
almalinux@sha256:e4d6def1c1e9569f603b3de7d82809fb5b847858872513bd3a11d3b1c10ecf6e,library/almalinux,1358,14397230,70.8,1,153,9,152,567,330,1063,3,4,4
almalinux@sha256:490b60efb89f738a743f0d8a58c58750f483fcd94cc9f12b2a3ae64d175ffe48,library/almalinux,1326,14397230,71.8,1,153,9,152,557,330,1053,3,4,4
almalinux@sha256:b2e67ce30c43dd86ae5a03c4e0a4aa8c999ebd119afa93e0383198868934249f,library/almalinux,1470,14397230,36.6,1,100,0,93,342,156,591,1,3,3
almalinux@sha256:03806cd75bc2e35114f93caec45d66dd60edc2b3aa00a78462df6b5581179e5a,library/almalinux,1414,14397230,36.6,1,100,0,91,323,156,570,1,3,3
